  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:44:42      4.89      0.77      4.40      3.44
13:44:43      4.82      1.27      3.41      4.05
13:44:44      5.62      0.06      0.00      0.00
13:44:45      5.56      0.00      0.00      0.00
13:44:46      6.58     10.53     58.74     44.35
13:44:47     12.84     92.95     57.58     47.41
13:44:48     12.90     91.69     56.73     46.30
13:44:49     12.67     91.86     56.90     46.42
13:44:50     11.34     93.46     58.17     47.47
13:44:51     13.46     91.08     56.62     46.13
13:44:52     11.41     57.04     40.74     33.36
13:44:53     12.57     91.60     56.85     46.37
13:44:54     13.25     92.65     57.33     46.89
13:44:55     11.88     91.96     57.07     46.54
13:44:56     12.41     93.23     57.90     47.23
13:44:57     11.30     94.27     58.81     47.97
13:44:58     12.72     94.14     58.25     47.50
13:44:59     12.31     93.00     57.54     46.94
13:45:00     12.82     92.93     57.56     47.00
13:45:01     11.56     92.15     57.36     46.66
13:45:02     10.17     58.19     38.62     31.45
13:45:03     13.14     89.41     55.39     45.31
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:45:04     12.68     91.05     56.26     45.85
13:45:05     15.23     90.81     55.35     45.15
13:45:06     14.49     93.01     57.38     46.66
13:45:07     11.85     82.49     50.98     41.61
13:45:08     12.69     91.52     56.76     46.16
13:45:09     13.33     94.03     58.05     47.50
13:45:10     12.08     89.95     56.01     45.70
13:45:11     11.97     91.72     56.84     46.34
13:45:12      8.80     39.59     34.77     28.75
13:45:13     12.95     91.30     56.68     46.22
13:45:14     12.56     91.66     57.00     46.51
13:45:15     12.31     92.43     57.20     46.63
13:45:16     12.68     92.55     57.31     46.74
13:45:17     12.38     93.63     57.97     47.27
13:45:18     12.57     92.75     57.25     46.66
13:45:19     12.14     93.24     57.81     47.09
13:45:20     14.44     93.39     58.50     47.73
13:45:21     11.76     93.11     57.74     47.09
13:45:22     13.31     93.45     57.81     47.15
13:45:23     12.04     92.90     57.55     46.92
13:45:24     11.06     93.13     57.69     47.04
13:45:25     12.11     94.19     58.36     47.59
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:45:26     13.88     93.87     58.09     47.39
13:45:27     11.88     92.37     57.38     46.81
13:45:28     17.12     98.04     56.83     46.20
13:45:29     12.10     92.43     57.45     47.00
13:45:30     13.80     94.57     58.23     47.36
13:45:31     12.76     95.05     58.31     47.55
13:45:32     12.99     88.25     57.60     47.32
13:45:33     12.35     94.26     57.79     47.12
13:45:34     12.73     93.48     57.96     47.15
13:45:35     12.81     94.13     57.82     47.27
13:45:36     12.94     95.45     57.53     46.78
13:45:37     14.09     91.21     57.75     47.30
13:45:38     11.94     93.52     57.25     46.66
13:45:39     13.34     92.22     56.55     46.08
13:45:40     13.60     97.25     57.49     46.89
13:45:41     11.61     93.17     57.53     46.89
13:45:42     13.07     92.99     57.77     47.12
13:45:43     11.77     91.34     57.23     46.65
13:45:44     12.69     94.19     58.21     47.59
13:45:45     12.57     96.37     59.66     48.63
13:45:46     12.16     95.50     60.38     49.32
13:45:47     12.77     92.50     57.12     46.54
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:45:48     12.39     95.02     58.93     48.05
13:45:49     13.07     96.42     59.63     48.63
13:45:50     14.02     99.70     59.24     48.28
13:45:51     12.65     93.83     58.10     47.24
13:45:52     12.83     92.09     57.23     46.89
13:45:53     12.23     94.76     58.67     47.70
13:45:54     12.69     97.28     57.12     46.54
13:45:55     12.27     93.37     57.77     47.23
13:45:56     12.33     92.46     56.96     46.43
13:45:57     12.55     92.70     57.40     46.78
13:45:58     12.29     92.18     57.17     46.57
13:45:59     13.07     93.51     57.77     47.09
13:46:00     12.47     93.35     57.66     47.01
13:46:01     12.06     93.12     57.40     46.89
13:46:02     12.20     92.99     57.83     47.00
13:46:03     14.06     93.67     57.66     47.12
13:46:04     13.76     91.61     56.55     46.08
13:46:05     13.41     90.90     56.21     45.70
13:46:06     14.98     93.68     57.77     47.21
13:46:07     14.02     94.13     58.63     47.82
13:46:08     15.22     94.03     58.65     47.85
13:46:09     13.16     93.63     58.29     47.24
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:46:10     13.58     94.87     59.42     47.79
13:46:11     14.58     92.53     57.74     46.54
13:46:12     14.34     91.69     57.40     46.16
13:46:13     13.09     92.47     58.11     46.62
13:46:14     13.77     92.76     58.43     47.01
13:46:15     12.86     94.55     59.32     47.85
13:46:16     13.22     93.42     58.47     47.01
13:46:17     14.06     93.67     59.02     47.50
13:46:18     12.50     94.43     59.03     47.47
13:46:19     14.09     93.19     58.90     47.27
13:46:20     13.57     93.54     58.61     47.12
13:46:21     12.09     92.90     58.38     47.09
13:46:22     12.27     91.37     57.70     46.43
13:46:23     12.30     93.04     58.47     46.92
13:46:24     11.62     92.41     57.88     46.66
13:46:25     12.42     91.33     57.91     46.62
13:46:26     11.33     93.16     58.88     47.27
13:46:27     12.45     92.79     57.90     46.66
13:46:28     12.85     93.97     58.88     47.36
13:46:29     13.45     93.19     58.75     47.15
13:46:30     12.84     93.94     59.09     47.73
13:46:31     11.83     95.59     60.32     48.40
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:46:32     12.05     96.92     60.74     48.98
13:46:33     12.10     95.34     59.98     48.25
13:46:34     13.09     95.01     59.82     48.13
13:46:35     11.72     95.70     60.45     48.52
13:46:36     12.42     94.17     59.03     47.59
13:46:37     12.39     92.40     58.51     47.09
13:46:38     11.11     93.00     58.32     46.92
13:46:39     11.96     93.21     58.45     47.01
13:46:40     12.40     92.44     58.30     46.89
13:46:41     14.06     92.45     58.09     46.74
13:46:42     15.70     91.89     58.36     46.97
13:46:43     15.64     93.15     58.32     46.89
13:46:44     16.09     92.69     58.30     46.89
13:46:45     15.16     93.60     59.14     47.47
13:46:46     15.99     93.65     58.97     47.53
13:46:47     16.68     92.91     58.61     47.12
13:46:48     16.72     94.61     59.05     47.59
13:46:49     16.91     94.86     59.99     48.29
13:46:50     14.01     95.71     59.87     48.13
13:46:51     15.29     95.28     60.03     48.31
13:46:52     13.41     95.75     59.92     48.05
13:46:53     14.29     95.93     60.19     48.52
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:46:54     13.51     95.70     59.98     48.25
13:46:55     14.46     95.48     60.06     48.31
13:46:56     15.52     95.34     59.63     47.94
13:46:57     13.26     93.06     58.59     47.12
13:46:58     15.05     93.53     58.47     47.01
13:46:59     12.56     94.59     59.35     47.81
13:47:00     13.14     92.85     58.03     46.66
13:47:01     13.11     93.68     58.76     47.24
13:47:02     12.35     95.50     59.63     47.94
13:47:03     13.60     95.04     59.53     47.90
13:47:04     12.06     94.22     59.40     47.67
13:47:05     11.99     95.05     59.34     47.82
13:47:06     12.08     94.98     59.47     47.70
13:47:07     11.18     94.87     59.45     47.94
13:47:08     11.41     94.14     59.27     47.70
13:47:09     12.50     95.39     58.61     47.12
13:47:10     12.29     92.76     58.57     47.12
13:47:11     10.74     94.04     58.74     47.12
13:47:12     10.70     92.36     58.03     46.66
13:47:13     11.70     92.90     58.40     47.00
13:47:14     10.94     91.82     57.59     46.31
13:47:15     13.13     91.73     57.32     46.08
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:47:16     12.44     91.87     57.59     46.31
13:47:17     13.00     89.92     56.30     45.38
13:47:18     12.71     92.77     58.33     47.00
13:47:19     12.80     93.16     58.32     46.89
13:47:20     12.31     93.21     58.45     46.89
13:47:21     11.72     93.52     58.47     47.01
13:47:22     13.10     93.45     58.61     47.27
13:47:23     14.03     92.74     58.31     46.92
13:47:24     12.86     91.49     58.26     46.89
13:47:25     12.08     93.05     58.30     46.89
13:47:26     12.25     92.95     58.19     46.78
13:47:27     12.19     80.18     58.20     47.23
13:47:28     12.95     92.78     58.30     46.78
13:47:29     12.66     92.67     57.76     46.54
13:47:30     14.54     94.00     58.88     47.36
13:47:31     12.86     92.32     58.03     46.66
13:47:32     13.59     93.18     58.40     47.04
13:47:33     11.93     93.51     58.67     47.21
13:47:34     14.23     92.15     58.70     47.12
13:47:35     12.19     93.78     58.74     47.36
13:47:36     13.45     92.75     58.03     46.66
13:47:37     11.51     92.12     58.57     47.04
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:47:38     12.10     92.70     58.36     47.09
13:47:39     11.76     92.53     58.20     46.80
13:47:40     11.66     93.50     58.45     47.01
13:47:41     11.50     92.82     58.05     46.66
13:47:42     13.06     93.70     59.30     47.62
13:47:43     12.36     94.01     58.96     47.55
13:47:44     12.67     92.86     58.32     46.89
13:47:45     11.52     94.63     59.32     47.59
13:47:46     12.30     93.90     58.61     47.24
13:47:47     11.96     82.81     58.82     47.32
13:47:48     10.93     92.87     58.53     47.09
13:47:49     12.25     93.08     58.32     46.78
