  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:44:42      5.83      2.51      4.14      3.64
13:44:43      4.62      0.00      2.63      2.46
13:44:44      5.62      0.00      0.00      0.00
13:44:45      5.44      0.00      0.00      0.00
13:44:46      7.53     18.79     63.85     48.40
13:44:47     14.74     91.01     58.11     47.73
13:44:48     13.90     91.24     56.35     46.09
13:44:49     14.24     91.47     56.85     46.32
13:44:50     14.36     93.47     58.16     47.47
13:44:51     16.02     90.31     56.26     45.79
13:44:52     11.30     58.18     41.39     34.21
13:44:53     15.22     91.14     56.68     46.20
13:44:54     16.13     92.19     57.20     46.54
13:44:55     11.90     91.09     57.32     46.82
13:44:56     14.03     92.31     57.90     47.09
13:44:57     12.03     94.20     58.42     47.79
13:44:58     14.40     91.26     58.41     47.50
13:44:59     13.54     93.18     57.46     46.97
13:45:00     13.52     92.75     57.47     46.95
13:45:01     12.48     92.47     57.75     47.12
13:45:02     10.57     57.40     37.94     30.87
13:45:03     15.23     89.39     55.84     45.44
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:45:04     15.30     91.35     56.47     46.04
13:45:05     13.54     89.40     55.11     45.00
13:45:06     14.50     92.72     57.60     46.94
13:45:07     13.59     82.28     50.98     41.44
13:45:08     13.82     91.64     56.76     46.31
13:45:09     13.35     94.05     58.10     47.36
13:45:10     13.94     89.18     55.68     45.43
13:45:11     13.19     91.88     56.81     46.31
13:45:12      9.12     38.79     34.58     28.55
13:45:13     15.00     92.22     56.97     46.55
13:45:14     14.05     91.38     57.23     46.61
13:45:15     14.69     92.73     57.12     46.66
13:45:16     14.14     92.80     57.47     46.89
13:45:17     13.47     93.63     57.82     47.13
13:45:18     13.68     92.84     57.61     47.00
13:45:19     12.71     93.05     57.66     47.01
13:45:20     12.66     93.75     58.42     47.67
13:45:21     11.96     92.92     57.82     47.04
13:45:22     12.06     81.21     57.74     47.21
13:45:23     11.47     89.67     57.40     46.80
13:45:24     12.06     93.38     57.68     47.01
13:45:25     12.83     94.17     58.51     47.73
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:45:26     14.86     96.07     57.95     47.27
13:45:27     11.78     92.45     57.33     46.74
13:45:28     14.13     91.68     56.89     46.34
13:45:29     13.34     92.71     57.38     46.89
13:45:30     14.43     94.18     58.38     47.44
13:45:31     13.76     94.07     58.26     47.62
13:45:32     12.58     87.01     57.57     47.20
13:45:33     12.76     93.61     58.11     47.39
13:45:34     13.30     87.65     57.82     47.01
13:45:35     12.39     76.84     57.74     47.09
13:45:36     12.15     74.48     57.46     47.04
13:45:37     13.84     86.78     57.60     47.01
13:45:38     12.11     92.67     57.33     46.63
13:45:39     14.00     92.22     56.55     46.22
13:45:40     12.85     92.85     57.25     46.66
13:45:41     13.61     93.36     57.83     47.16
13:45:42     15.49     92.68     57.80     47.15
13:45:43     13.53     91.64     57.05     46.54
13:45:44     14.03     94.11     58.60     47.67
13:45:45     12.93     96.39     59.79     48.89
13:45:46     14.82     95.66     60.16     49.10
13:45:47     13.88     92.04     57.11     46.39
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:45:48     12.56     86.95     58.88     48.13
13:45:49     11.72     83.59     59.53     48.52
13:45:50     13.19     90.37     59.45     48.48
13:45:51     13.41     93.69     57.90     47.20
13:45:52     13.35     92.26     57.23     46.66
13:45:53     14.15     94.61     58.75     47.79
13:45:54     14.20     93.74     57.04     46.51
13:45:55     14.24     94.61     57.53     46.89
13:45:56     13.22     92.48     57.20     46.63
13:45:57     13.79     92.71     57.20     46.74
13:45:58     14.21     92.68     57.25     46.66
13:45:59     12.93     93.50     57.66     47.01
13:46:00     13.34     93.23     57.69     47.12
13:46:01     14.66     93.27     57.68     47.01
13:46:02     14.15     93.01     57.38     46.78
13:46:03     15.89     93.38     57.83     47.09
13:46:04     14.74     90.88     56.13     45.76
13:46:05     15.22     91.84     56.70     46.08
13:46:06     17.05     93.07     57.64     47.01
13:46:07     14.39     94.92     59.04     48.28
13:46:08     16.28     93.85     58.35     47.59
13:46:09     14.92     93.81     58.38     47.36
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:46:10     14.58     94.58     59.27     47.67
13:46:11     16.35     92.34     58.02     46.57
13:46:12     16.02     91.90     57.32     46.20
13:46:13     14.63     92.32     58.03     46.54
13:46:14     12.78     81.48     58.67     47.35
13:46:15     13.76     94.54     59.47     47.71
13:46:16     13.99     93.32     58.32     47.01
13:46:17     14.50     93.68     58.96     47.44
13:46:18     13.64     94.13     59.18     47.50
13:46:19     15.09     93.62     58.59     47.24
13:46:20     15.58     93.27     58.61     47.12
13:46:21     14.34     93.01     58.38     47.04
13:46:22     14.61     91.34     57.78     46.51
13:46:23     14.02     93.23     58.32     46.89
13:46:24     12.33     92.41     58.03     46.54
13:46:25     13.27     91.49     57.91     46.74
13:46:26     12.48     93.16     58.87     47.20
13:46:27     13.37     92.58     57.88     46.66
13:46:28     13.80     94.00     58.90     47.24
13:46:29     13.83     93.03     58.61     47.15
13:46:30     13.16     94.37     59.25     47.79
13:46:31     12.59     95.65     60.32     48.52
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:46:32     13.62     96.89     60.90     48.98
13:46:33     14.17     95.18     59.98     48.20
13:46:34     14.71     95.19     59.82     48.25
13:46:35     13.25     95.35     60.28     48.52
13:46:36     13.46     93.70     59.24     47.55
13:46:37     13.12     93.03     58.16     46.78
13:46:38     12.67     93.01     58.26     46.97
13:46:39     14.78     93.20     58.45     47.01
13:46:40     14.78     92.56     58.43     47.04
13:46:41     15.30     92.34     58.03     46.66
13:46:42     16.32     91.98     58.40     46.97
13:46:43     16.34     93.34     58.48     46.89
13:46:44     17.97     92.58     58.14     46.89
13:46:45     16.12     93.76     59.32     47.73
13:46:46     16.01     93.58     58.82     47.21
13:46:47     17.81     93.86     58.61     47.24
13:46:48     18.27     94.61     59.18     47.59
13:46:49     18.41     95.01     60.30     48.43
13:46:50     15.96     95.50     59.91     48.20
13:46:51     16.67     95.15     59.74     48.05
13:46:52     13.95     95.85     59.92     48.28
13:46:53     14.63     95.96     60.34     48.55
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:46:54     14.77     95.77     59.90     48.17
13:46:55     17.04     95.19     59.98     48.13
13:46:56     17.39     95.60     59.76     48.05
13:46:57     15.63     92.96     58.53     47.09
13:46:58     16.35     93.82     58.47     47.12
13:46:59     14.62     94.37     59.20     47.55
13:47:00     15.46     92.79     58.03     46.66
13:47:01     14.98     93.99     58.90     47.36
13:47:02     14.51     95.43     59.93     48.09
13:47:03     17.34     97.59     59.32     47.83
13:47:04     14.40     94.48     59.47     47.67
